"Forwards (12 - $51,987,500)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Barzal, Mathew",7 UFA,M-NTC,"C, RW",NHL,Draft,27,10.4,"$9,150,000 ","$9,150,000 ","$9,150,000 ","$9,150,000 ","$9,150,000 ","$9,150,000 "
"Horvat, Bo",7 UFA,NTC,C,NHL,Trade,29,9.7,"$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 "
"Lee, Anders ""C""",2 UFA,M-NTC,LW,NHL,Signed,34,8,"$7,000,000 ","$7,000,000 ",UFA,,,
"Nelson, Brock",1 UFA,M-NTC,"C, LW",NHL,Draft,32,6.8,"$6,000,000 ",UFA,,,,
"Pageau, Jean-Gabriel",2 UFA,M-NTC,C,NHL,Trade,31,5.7,"$5,000,000 ","$5,000,000 ",UFA,,,
"Palmieri, Kyle",1 UFA,M-NTC,"RW, LW",NHL,Signed,33,5.7,"$5,000,000 ",UFA,,,,
"Duclair, Anthony",4 UFA,,"LW, RW",NHL,Signed,28,4,"$3,500,000 ","$3,500,000 ","$3,500,000 ","$3,500,000 ",UFA,
"Engvall, Pierre",6 UFA,M-NTC,"RW, LW",NHL,Signed,28,3.4,"$3,000,000 ","$3,000,000 ","$3,000,000 ","$3,000,000 ","$3,000,000 ","$3,000,000 "
"Cizikas, Casey",3 UFA,,C,NHL,Signed,33,2.8,"$2,500,000 ","$2,500,000 ","$2,500,000 ",UFA,,
"Gauthier, Julien",1 UFA,,RW,NHL,Signed,26,0.9,"$787,500 ",UFA,,,,
"Fasching, Hudson",1 UFA,,RW,NHL,Signed,28,0.9,"$775,000 ",UFA,,,,
"MacLean, Kyle",3 UFA,,"LW, C",NHL,Signed,25,0.9,"$775,000 ","$775,000 ","$775,000 ",UFA,,
"Holmstrom, Simon",0 RFA,,RW,NHL,Draft,23,,RFA,,,,,
"Iskhakov, Ruslan",0 RFA,,C,NHL,Draft,23,,RFA,,,,,
"Wahlstrom, Oliver",0 RFA,,RW,NHL,Draft,24,,RFA,,,,,
TOTAL,,,,,,28.3,59.1,"$51,987,500 ","$39,425,000 ","$27,425,000 ","$24,150,000 ","$20,650,000 ","$20,650,000 "
